Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
30            30            +243.997      +715.032      +301.804      +45.4278      -1767.77      -321.233      +1306.26      -2089.01      -782.745      
31            31            +240.427      +722.307      +320.197      +54.5069      -1775.62      -294.901      +1337.44      -2070.52      -733.078      
32            32            +253.674      +716.899      +302.12       +42.9745      -1766.88      -304.142      +1315.67      -2071.02      -755.354      
33            33            +244.382      +709.912      +306.579      +43.7223      -1787.75      -285.084      +1304.59      -2072.84      -768.241      
34            34            +234.935      +703.48       +316.646      +42.9708      -1759.06      -310.223      +1298.03      -2069.28      -771.247      
35            35            +222.681      +719.134      +323.01       +42.2302      -1770.87      -298.595      +1307.06      -2069.46      -762.407      
36            36            +255.929      +689.932      +321.764      +39.969       -1768.12      -303.325      +1307.59      -2071.45      -763.856      
37            37            +259.881      +730.844      +300.956      +40.2241      -1749.67      -309.435      +1331.9       -2059.1       -727.199      
38            38            +230.068      +766.437      +302.82       +39.4616      -1764.06      -287.694      +1338.79      -2051.76      -712.971      
39            39            +254.265      +720.962      +321.558      +38.8312      -1744.11      -306.735      +1335.62      -2050.85      -715.23       
40            40            +233.66       +654.08       +320.839      +42.708       -1698.61      -304.108      +1251.29      -2002.72      -751.433      
41            41            +256.372      +720.716      +321.855      +43.7932      -1733.33      -295.135      +1342.74      -2028.46      -685.725      
42            42            +248.716      +708.694      +310.237      +43.0691      -1756.15      -297.163      +1310.72      -2053.31      -742.594      
43            43            +241.652      +756.609      +315.384      +36.3196      -1749.77      -277.783      +1349.96      -2027.55      -677.586      
44            44            +247.972      +736.878      +314.805      +38.926       -1734.38      -294.246      +1338.58      -2028.62      -690.042      
45            45            +252.147      +709.05       +327.094      +49.492       -1733.31      -317.752      +1337.78      -2051.06      -713.276      
46            46            +232.691      +733.854      +307.209      +38.5789      -1756.77      -285.174      +1312.33      -2041.95      -729.615      
47            47            +245.699      +693.73       +328.91       +38.3872      -1705.51      -282.33       +1306.73      -1987.84      -681.118      
48            48            +245.847      +734.249      +325.018      +48.1424      -1731.91      -296.633      +1353.26      -2028.54      -675.287      
49            49            +264.217      +708.196      +316.847      +43.9363      -1685         -302.522      +1333.2       -1987.52      -654.326      
50            50            +246.53       +721.805      +327.289      +46.6396      -1752.52      -296.995      +1342.26      -2049.52      -707.255      
51            51            +260.511      +725.731      +330.084      +44.2802      -1730.84      -313.727      +1360.61      -2044.57      -683.959      
52            52            +235.923      +715.61       +306.14       +32.6993      -1717.26      -304.686      +1290.37      -2021.94      -731.571      
53            53            +233.119      +721.727      +306.046      +40.2148      -1708.91      -317.613      +1301.11      -2026.52      -725.413      
54            54            +230.452      +699.694      +298.216      +36.4314      -1786.26      -282.024      +1264.79      -2068.28      -803.489      
55            55            +237.375      +685.782      +303.113      +43.7109      -1748.93      -302.878      +1269.98      -2051.81      -781.828      
56            56            +243.978      +735.041      +296.444      +41.328       -1745.66      -319.351      +1316.79      -2065.01      -748.22       
57            57            +233.068      +704.342      +315.8        +41.5772      -1760.72      -306.451      +1294.79      -2067.18      -772.388      
